UserID,Gender,Age,EstimatedSalary,AgeGroup,SalarySlab,Purchased
10001,M,26.0,66870.0,Young,Medium,0
10002,F,28.0,57682.0,Young,Medium,0
10003,female,,93903.0,Adult,High,1
10004,Female,43.0,9800.0,Adult,Low,0
10005,Male,49.0,64791.0,Adult,Medium,1
10006,Male,28.0,,Young,Medium,0
10007,Male,54.0,53334.0,Senior,Medium,1
10008,F,34.0,108509.0,Adult,High,1
10009,Female,38.0,43098.0,Adult,Medium,0
10010,female,28.0,83903.0,Young,Medium,1
10011,Male,-1.0,74089.0,Young,Medium,0
10012,F,48.0,96999.0,Adult,High,1
10013,F,47.0,48683.0,Adult,Medium,0
10014,Male,34.0,46376.0,Adult,Medium,0
10015,Male,37.0,92068.0,Adult,High,1
10016,Male,45.0,75746.0,Adult,Medium,1
10017,male,20.0,25961.0,Young,Low,0
10018,Female,30.0,51670.0,Adult,Medium,0
10019,Female,48.0,75117.0,Adult,Medium,1
10020,male,22.0,86292.0,Young,Medium,0
10021,Female,41.0,48243.0,Adult,Medium,0
10022,Male,22.0,9550.0,Young,Low,0
10023,male,42.0,77691.0,Adult,Medium,1
10024,M,37.0,34453.0,Adult,Low,0
10025,Female,17.0,14507.0,Young,Low,0
10026,F,51.0,9770.0,Senior,Low,0
10027,Male,29.0,85425.0,Young,Medium,1
10028,Female,29.0,68058.0,Young,Medium,0
10029,Female,41.0,59040.0,Adult,Medium,0
10030,Male,50.0,99727.0,Senior,High,1
10031,Female,26.0,81276.0,Young,Medium,1
10032,Male,,104916.0,Adult,High,1
10033,Male,43.0,499993.0,Adult,High,1
10034,F,45.0,63869.0,Adult,Medium,1
10035,F,39.0,24379.0,Adult,Low,0
10036,F,33.0,59008.0,Adult,Medium,0
10037,male,29.0,58792.0,Young,Medium,0
10038,Male,40.0,80515.0,Adult,Medium,1
10039,female,24.0,65905.0,Young,Medium,0
10040,Female,-5.0,80714.0,Young,Medium,0
10041,Male,,82741.0,Adult,Medium,1
10042,Female,48.0,119265.0,Adult,High,1
10043,Male,8.0,56817.0,Young,Medium,0
10044,F,25.0,41212.0,Young,Medium,0
10045,male,44.0,-500.0,Adult,Low,0
10046,Female,61.0,45356.0,Senior,Medium,1
10047,male,,101963.0,Adult,High,1
10048,Female,28.0,58387.0,Young,Medium,0
10049,Female,35.0,50843.0,Adult,Medium,0
10050,Male,55.0,53153.0,Senior,Medium,1
10051,F,31.0,83458.0,Adult,Medium,1
